task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
e1_fwd_76,2026-04-07T15:24:34,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.049270642921328545,2.3713144985587753e-08,4.835849959893659e-07,360.0,73.86949023459988,10.0,4.884525388479171e-06,1.0025007952663145e-06,1.3558158857954644e-07,6.022607772324931e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_bwd_76,2026-04-07T15:24:34,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.03932151943445206,1.570726735621453e-08,4.0301305583802065e-07,360.0,0.0,10.0,3.881556354463e-06,0.0,1.0773779100013914e-07,3.989294145463227e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_opt_76,2026-04-07T15:24:34,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.004576804116368294,1.8040464537582917e-09,4.0018844022608775e-07,360.0,0.0,10.0,4.4585000723599763e-07,0.0,1.2337390540377558e-08,4.5818739777638874e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_fwd_86,2026-04-07T15:24:35,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.05220329947769642,2.5731035787496327e-08,4.970802414476758e-07,360.0,116.87214903330701,10.0,4.831873625516826e-06,1.5691679280394055e-06,1.3406529194778805e-07,6.53510684550402e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_bwd_86,2026-04-07T15:24:35,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.03887634538114071,1.5477773211741136e-08,4.02346271850111e-07,360.0,0.0,10.0,3.824842534959263e-06,0.0,1.0616523731086272e-07,3.931007772270227e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_opt_86,2026-04-07T15:24:35,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.004561644047498703,1.7683676849411764e-09,4.0198394146274565e-07,360.0,0.0,10.0,4.370363429189589e-07,0.0,1.2089446600943088e-08,4.4912578951988164e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_fwd_96,2026-04-07T15:24:36,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.04908120632171631,2.5861869750931658e-08,5.32205677313943e-07,360.0,118.57858531967524,10.0,4.8395507037640294e-06,1.5944457203431739e-06,1.3433931809332634e-07,6.568335742200516e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_bwd_96,2026-04-07T15:24:36,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.03888656385242939,1.5537698449384284e-08,4.03112848699779e-07,360.0,0.0,10.0,3.839653730392358e-06,0.0,1.0657371021807424e-07,3.946227440610513e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_opt_96,2026-04-07T15:24:36,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.0046854764223098755,3.529824986718662e-09,7.593006802316198e-07,360.0,0.0,10.0,8.723180741072693e-07,0.0,2.4178422366581025e-08,8.964964964739384e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_fwd_104,2026-04-07T15:24:37,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.0494118332862854,1.976712672343197e-08,4.031769154189933e-07,360.0,0.0,10.0,4.884842410683666e-06,0.0,1.3556509382194672e-07,5.020407504505511e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_bwd_104,2026-04-07T15:24:37,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.0390993170440197,2.0531049538125464e-08,5.295551333037515e-07,360.0,117.33958953069435,10.0,3.851702623069346e-06,1.2558343414070805e-06,1.0688982696996954e-07,5.214426791446498e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_opt_104,2026-04-07T15:24:37,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.007755683735013008,1.7889640944754266e-09,2.340750705401903e-07,360.0,0.0,10.0,4.4212322682134556e-07,0.0,1.223358946541691e-08,4.5435681628679635e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_fwd_114,2026-04-07T15:24:38,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.04917968064546585,1.9621666856377648e-08,4.0316218657445055e-07,360.0,0.0,10.0,4.848872683942259e-06,0.0,1.345912718938482e-07,4.98346395583606e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_bwd_114,2026-04-07T15:24:38,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.040465058758854866,2.1090674076705976e-08,5.266595635693435e-07,360.0,113.76685229736991,10.0,3.985930047929265e-06,1.2600010137475692e-06,1.1062782982157568e-07,5.356558891498383e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_opt_114,2026-04-07T15:24:38,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.00460832379758358,1.8246457764794049e-09,4.004135111033274e-07,360.0,0.0,10.0,4.509422928094652e-07,0.0,1.2476871617964687e-08,4.634191644273689e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
