epoch,step_idx,step_ms,forward_ms,backward_ms,optimizer_ms,energy_consumed,cpu_energy,gpu_energy,ram_energy,emissions
14,280,89.221492,48.614608,36.2206,2.897669,9.712955918357233e-05,6.920373272150749e-05,2.6003631916182712e-05,1.9221945458816148e-06,3.824335580826212e-07
15,281,102.088347,53.962688,39.249911,3.087252,,,,,
15,282,107.333586,59.828867,41.845554,3.267965,,,,,
15,283,109.673046,65.331759,38.693611,2.896299,,,,,
15,284,108.374754,60.914465,41.792113,3.223594,,,,,
15,285,104.530849,60.491278,38.507698,2.936999,7.926556608843158e-05,5.553367361426373e-05,2.218946218590645e-05,1.542430288261842e-06,3.120966750743685e-07
15,286,97.704804,51.797262,38.522918,2.959819,,,,,
15,287,99.401774,54.866023,39.159409,3.046652,,,,,
15,288,98.749471,50.385968,41.918626,3.60024,,,,,
15,289,98.641221,50.170724,42.117019,3.391887,,,,,
15,290,97.564162,49.370711,41.922195,3.57694,7.391883230524043e-05,5.1487606577575295e-05,2.1001127905151407e-05,1.4300978225138475e-06,2.9104468593724666e-07
15,291,100.239626,49.221808,42.988314,3.586,,,,,
15,292,101.120382,49.342381,45.379004,3.645101,,,,,
15,293,102.510665,49.690846,46.42136,3.636221,,,,,
15,294,101.234624,49.156978,45.710219,3.646291,,,,,
15,295,97.974369,49.628624,41.969616,3.640362,7.50130561726894e-05,5.2550633437931614e-05,2.1002794582614115e-05,1.459628152143623e-06,2.9535303378196636e-07
15,296,104.773164,49.424792,47.850495,3.626732,,,,,
15,297,101.982107,56.066903,38.997617,3.5904,,,,,
15,298,94.239906,49.247199,38.648331,3.597871,,,,,
15,299,94.606683,48.971574,39.008787,3.615941,,,,,
15,300,93.953852,49.30987,38.679261,3.582891,7.274564412142453e-05,5.112180542200806e-05,2.0203905052085247e-05,1.4199336473312622e-06,2.864254275445519e-07
