run_num,project_name,epoch,step_idx,timestamp_s,step_ms,forward_ms,backward_ms,optimizer_ms,loss,gpu_util,cpu_util,ram_used_mb
1,PNA,2,29,1775681042.1483898,110.174761,47.284253,56.343642,3.855053,0.7986900806427002,,,
1,PNA,2,30,1775681042.3847697,110.514777,47.172141,56.818429,3.687061,0.7900475859642029,,,
1,PNA,2,31,1775681042.627727,117.42024,47.09673,62.649204,3.738481,0.7950583696365356,22.0,53.8,20591.44140625
1,PNA,2,32,1775681042.8486662,93.217434,47.241322,39.482526,3.594239,0.77520352602005,,,
1,PNA,2,33,1775681043.084652,111.374221,47.255732,56.579946,3.471127,0.7799955606460571,33.0,63.5,20591.80859375
1,PNA,2,34,1775681043.3195713,109.55487,46.831626,56.32551,3.66809,0.734151303768158,,,
1,PNA,2,35,1775681043.5562747,110.253122,47.236822,56.634536,3.68159,0.8382729291915894,,,
1,PNA,2,36,1775681043.7939734,111.080877,47.233283,56.712738,3.67945,0.7993834018707275,22.0,55.2,20591.55078125
1,PNA,2,37,1775681044.0300856,110.141641,47.120799,56.344491,3.67797,0.8048027753829956,,,
1,PNA,2,38,1775681044.2689447,111.239389,47.327084,56.453193,3.492477,0.7525296211242676,33.0,64.0,20591.375
1,PNA,2,39,1775681044.5075202,110.858712,47.252483,56.248,4.484023,0.7759250402450562,,,
1,PNA,2,40,1775681044.6884806,111.179988,47.280533,57.018192,4.28854,0.8001317977905273,,,
1,PNA,3,41,1775681045.1878636,115.535919,52.116703,56.29763,4.321411,0.8385282158851624,11.0,70.6,20591.81640625
1,PNA,3,42,1775681045.42375,109.621303,47.03172,55.537858,4.236069,0.768476128578186,,,
1,PNA,3,43,1775681045.659963,111.105757,46.942406,56.340941,3.513208,0.8005658388137817,33.0,64.5,20591.37109375
1,PNA,3,44,1775681045.8972058,110.356144,47.265902,56.112058,4.29621,0.7545851469039917,,,
1,PNA,3,45,1775681046.1375403,111.173547,47.261513,56.492243,3.935714,0.7736985683441162,,,
1,PNA,3,46,1775681046.3726597,111.485893,47.336825,56.522335,3.6681,0.8360899090766907,27.0,56.4,20591.60546875
1,PNA,3,47,1775681046.607378,110.358044,47.195941,56.158389,4.28562,0.792783260345459,,,
1,PNA,3,48,1775681046.8442316,110.935474,47.128301,56.581805,3.456636,0.8209163546562195,29.0,62.5,20591.85546875
1,PNA,3,49,1775681047.0811415,110.845532,47.332794,56.35074,4.414082,0.7700952291488647,,,
1,PNA,3,50,1775681047.3154519,110.451706,47.142671,55.947975,4.303911,0.8053088784217834,,,
1,PNA,3,51,1775681047.5525255,112.048022,47.463736,56.487023,4.476563,0.8238807916641235,33.0,55.3,20591.1640625
1,PNA,3,52,1775681047.7886105,110.878582,47.482637,56.345091,4.2996,0.794191300868988,,,
1,PNA,3,53,1775681048.02393,110.957183,47.179422,56.058236,3.449206,0.7877991795539856,23.0,64.4,20591.16796875
1,PNA,3,54,1775681048.2586994,110.468257,47.239323,56.061767,4.29511,0.817861795425415,,,
1,PNA,3,55,1775681048.4977865,114.264498,47.377524,59.278579,4.594175,0.7495126724243164,,,
1,PNA,3,56,1775681048.7342374,111.834888,47.610249,56.439233,4.28782,0.7932358980178833,33.0,55.1,20592.08984375
