run_num,project_name,epoch,step_idx,timestamp_s,step_ms,forward_ms,backward_ms,optimizer_ms,loss,gpu_util,cpu_util,ram_used_mb,sampled_phase
1,PNA,3,114,1775431651.8700495,112.271238,49.031575,57.246782,3.667941,0.7472237348556519,20.0,0.4,19387.5625,forward
1,PNA,3,115,1775431652.0451338,111.25263,47.900506,57.12318,3.668642,0.8035787343978882,,,,
1,PNA,3,116,1775431652.2194285,111.039407,47.863675,57.216042,3.664422,0.8188841342926025,,,,
1,PNA,3,117,1775431652.3934798,113.107512,49.625114,57.560438,3.664002,0.7931907176971436,24.0,0.4,19387.5625,forward
1,PNA,3,118,1775431652.567791,110.973357,47.783124,57.208502,3.662523,0.8170021772384644,,,,
1,PNA,3,119,1775431652.745517,114.184841,50.170894,57.361725,4.409624,0.8284964561462402,,,,
1,PNA,3,120,1775431652.861914,109.112235,47.764433,55.831839,3.450438,0.7186048626899719,22.0,0.5,19388.40625,backward
1,PNA,4,121,1775431653.21597,109.662704,47.949336,56.828456,4.16591,0.7513648867607117,,,,
1,PNA,4,122,1775431653.3914778,111.957833,47.852095,58.616556,3.398227,0.7518213391304016,24.0,0.5,19389.1875,backward
1,PNA,4,123,1775431653.5661745,110.818685,47.722643,57.321784,3.613952,0.7883147597312927,,,,
1,PNA,4,124,1775431653.7351828,111.103478,47.861245,57.129731,3.636151,0.7978182435035706,,,,
1,PNA,4,125,1775431653.9097452,112.066824,47.884876,58.353511,3.467888,0.7391384840011597,22.0,0.4,19389.28125,backward
1,PNA,4,126,1775431654.084603,111.405893,47.964545,57.473497,3.638251,0.8004341721534729,,,,
1,PNA,4,127,1775431654.259895,111.114249,48.032347,57.173741,3.645012,0.7863283157348633,,,,
1,PNA,4,128,1775431654.436252,112.159676,47.749703,58.822689,3.390277,0.8088510036468506,24.0,0.4,19389.1875,backward
1,PNA,4,129,1775431654.6112874,111.390554,48.116019,57.196112,3.623511,0.8109413385391235,,,,
1,PNA,4,130,1775431654.787164,110.567109,47.554339,57.055619,3.641471,0.7891427278518677,,,,
1,PNA,4,131,1775431654.9635828,112.129536,48.008338,58.106587,3.425328,0.7673901915550232,24.0,0.4,19389.19140625,backward
1,PNA,4,132,1775431655.1390285,111.088898,48.065878,57.06096,3.629141,0.7795087099075317,,,,
1,PNA,4,133,1775431655.3149867,111.368923,47.972826,57.407736,3.439738,0.759587824344635,,,,
1,PNA,4,134,1775431655.4917445,112.310129,48.072669,58.564426,3.426777,0.8047100305557251,19.0,0.4,19389.68359375,backward
1,PNA,4,135,1775431655.6669917,110.914056,47.741533,57.016979,3.662313,0.8432826995849609,,,,
1,PNA,4,136,1775431655.842973,111.18782,48.12296,57.1012,3.648671,0.8047103881835938,,,,
1,PNA,4,137,1775431656.0190766,112.031583,47.861845,58.469753,3.401677,0.7729328274726868,24.0,0.4,19389.6796875,backward
